URL,Size,OutLinks,ContentType
https://www.washingtonpost.com/global-opinions/?nid=menu_nav_opinions-globalopinions,130506,104,text/html
https://www.washingtonpost.com/national/,198070,101,text/html
https://www.washingtonpost.com/?nid=menu_nav_homepage,285599,211,text/html
https://www.washingtonpost.com/goingoutguide/theater-dance/?nid=menu_nav_entertainment-theateranddance,199274,77,text/html
https://www.washingtonpost.com/news/in-theory/?nid=menu_nav_opinions-intheory,139957,65,text/html
https://www.washingtonpost.com/news/wonk/?nid=menu_nav_business-wonkblog,195273,98,text/html
https://www.washingtonpost.com/news/powerpost/?nid=menu_nav_politics-powerpost,143044,103,text/html
https://www.washingtonpost.com/sports/soccer/?nid=menu_nav_sports-soccer,244115,87,text/html
https://www.washingtonpost.com/opinions/?nid=menu_nav_opinions,271739,189,text/html
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/population-carto-720.jpg?c=621,122412,0,image/jpeg
https://www.washingtonpost.com/photography/?nid=menu_nav_photography,168023,68,text/html
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/compare-map-720.jpg?c=543,71196,0,image/jpeg
https://www.washingtonpost.com/news/the-fix/wp/2017/09/27/all-about-the-jones-act-an-obscure-shipping-law-thats-stalling-puerto-ricos-recovery/,198913,40,text/html
https://www.washingtonpost.com/wp-srv/graphics/templates/mobile/ico/apple-touch-icon-114-precomposed.png,5231,0,image/png
https://www.washingtonpost.com/lifestyle/magazine/?nid=menu_nav_lifestyle-magazine,206080,146,text/html
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/compare-map-600.jpg?c=844,36626,0,image/jpeg
https://www.washingtonpost.com/people/chiqui-esteban/,70866,58,text/html
https://www.washingtonpost.com/goingoutguide/restaurants/?nid=menu_nav_entertainment-restaurants,197168,77,text/html
https://www.washingtonpost.com/opinions/local-opinions/?nid=menu_nav_opinions-localopinions,200053,89,text/html
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/representation-720.jpg?c=599,20125,0,image/jpeg
https://www.washingtonpost.com/?nid=menu_nav_partners,285601,211,text/html
https://www.washingtonpost.com/amphtml/news/post-politics/wp/2017/10/01/trump-says-tillerson-is-wasting-his-time-trying-to-pursue-negotiations-with-north-korea/,42916,36,text/html
https://www.washingtonpost.com/news/energy-environment/?nid=menu_nav_business-energyandenvironment,391481,140,text/html
https://www.washingtonpost.com/graphics/2017/world/north-korea-launch/?tid=graphics-story,153145,205,text/html
https://www.washingtonpost.com/graphics/2017/national/fair-representation/img/world-map-280.jpg?c=675,25296,0,image/jpeg
https://www.washingtonpost.com/graphics/2017/world/north-korea-launch/img/2300-north-korea-launch-promo.jpg?c=53f0ff060ca0ad51e04e64a8c19b39b6143df2b1-1506637644,315573,0,image/jpeg
https://www.washingtonpost.com/national/health-science/the-first-affordable-care-act-enrollment-season-of-the-trump-era-is-still-a-mystery/2017/08/06/88f9bfda-7881-11e7-8f39-eeb7d3a2d304_story.html?utm_term=.52f2790065dd,162990,34,text/html
https://www.washingtonpost.com/sports/redskins/from-freddie-gray-through-ray-lewis-baltimore-at-the-center-of-nfl-anthem-debate/2017/09/29/f0968a00-a51e-11e7-ade1-76d061d56efa_story.html,176378,34,text/html
https://www.washingtonpost.com/amphtml/sports/redskins/from-freddie-gray-through-ray-lewis-baltimore-at-the-center-of-nfl-anthem-debate/2017/09/29/f0968a00-a51e-11e7-ade1-76d061d56efa_story.html,57435,43,text/html
https://www.washingtonpost.com/news/sports/wp/2017/09/28/nfl-owners-locked-arms-in-solidarity-with-players-after-trumps-criticism-does-that-change-the-chances-of-colin-kaepernick-getting-a-job/?tid=pm_sports_pop&utm_term=.ee35391d4580,167441,33,text/html
https://www.washingtonpost.com/people/dave-sheinin/,73839,60,text/html
https://www.washingtonpost.com/blogs/plum-line/wp/2017/07/28/this-is-what-you-get-when-you-elect-republicans/?hpid=hp_no-name_opinion-card-c%3Ahomepage%2Fstory&utm_term=.a1e8bb6bc76b,159773,37,text/html
https://www.washingtonpost.com/opinions/its-not-obamacare-anymore-its-our-national-health-care-system/2017/07/28/1a6583fe-73d3-11e7-9eac-d56bd5568db8_story.html,160000,45,text/html
